tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-18,-4,-3,588.1356201171875
1,-1.4491525423728813,0.0,-18,-4,-3,588.1356201171875
2,-1.3983050847457628,0.0,-18,-4,-3,588.1356201171875
3,-1.347457627118644,0.0,-18,-4,-3,588.1356201171875
4,-1.2966101694915255,0.0,-18,-4,-3,588.1356201171875
5,-1.2457627118644068,0.0,-18,-4,-3,588.1356201171875
6,-1.194915254237288,0.0,-18,-4,-3,588.1356201171875
7,-1.1440677966101696,0.0,-18,-4,-3,588.1356201171875
8,-1.0932203389830508,0.0,-18,-4,-3,588.1356201171875
9,-1.042372881355932,0.0,-18,-4,-3,588.1356201171875
10,-0.9915254237288136,0.0,-18,-4,-3,588.1356201171875
11,-0.9406779661016949,0.0,-18,-4,-3,588.1356201171875
12,-0.8898305084745762,0.0,-18,-4,-3,588.1356201171875
13,-0.8389830508474576,0.0,-18,-4,-3,588.1356201171875
14,-0.7881355932203389,0.0,-18,-4,-3,588.1356201171875
15,-0.7372881355932203,0.0,-18,-4,-3,588.1356201171875
16,-0.6864406779661016,0.0,-18,-4,-3,588.1356201171875
17,-0.635593220338983,0.0,-18,-4,-3,588.1356201171875
18,-0.5847457627118644,0.0,-18,-4,-3,588.1356201171875
19,-0.5338983050847457,7.706974614052342e-09,-18,-4,-3,588.1356201171875
20,-0.48305084745762716,8.892893532674861e-08,-18,-4,-3,588.1356201171875
21,-0.43220338983050843,1.2909661784021864e-08,-18,-4,-3,588.1356201171875
22,-0.3813559322033897,2.797375842078509e-08,-18,-4,-3,588.1356201171875
23,-0.3305084745762712,3.988658647813281e-08,-18,-4,-3,588.1356201171875
24,-0.27966101694915246,6.267963215123018e-08,-18,-4,-3,588.1356201171875
25,-0.22881355932203373,3.751106874005927e-07,-18,-4,-3,588.1356201171875
26,-0.17796610169491522,4.099045103345134e-09,-18,-4,-3,588.1356201171875
27,-0.1271186440677965,3.796884868734196e-07,-18,-4,-3,588.1356201171875
